country,tax_rate,unempl_rate,edu_index,health_index,corruption_rank,democracy_index,personal_freedom,economic_freedom,human_freedom,inflation,median_age,life_expectancy,social_mobility,press_score,gdp_per_capita,literacy_rate,infant_mortality,political_rights,civil_liberties,hdi,crime_index,safety_index,epi,pollution,safety,law_index,happiness,gini,gdp_growth,voting_age,reg_voters,opportunity,share_agriculture,avg_temperature,suicide_total,suicide_male,suicide_female,perc_urban_pop,urban_rate
Abkhazia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adorra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,20,11.2,0.415,N/A,165,N/A,N/A,N/A,N/A,5,16.5,64.8,N/A,40.19,1976,43,151.9,13,14,0.511,76.31,23.69,25.5,89.62,23.77,-1.71,2.567,N/A,-5,N/A,N/A,N/A,25.77,12.6,4.1,4.6,3.6,26,3.37
Albania,23,12.1,0.745,50.42,104,N/A,8.01,7.67,7.84,2,32.9,78.6,55.6,30.59,12943,98.1,18.6,27,39,0.795,42.53,57.47,49,78.87,60.48,-0.41,4.883,29,-3.5,N/A,N/A,78,18.46,11.4,4.3,5.9,2.7,62,1.69
Algeria,35,11.4,0.664,53.12,104,N/A,5.2,4.77,4.99,5.6,N/A,N/A,N/A,47.26,15293,81.4,27.7,10,22,0.748,52.03,47.97,44.8,65.26,50.19,-0.82,5.005,27.6,-5.99,N/A,N/A,110,12.38,22.5,2.5,3.1,1.8,73,2.46
American Samoa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5,N/A,N/A,N/A,N/A,N/A,N/A,10.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,0.07
Andorra,N/A,N/A,0.714,N/A,N/A,N/A,N/A,N/A,N/A,-0.9,N/A,N/A,N/A,23.32,N/A,100,N/A,38,55,0.868,N/A,N/A,N/A,N/A,N/A,1.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.6,N/A,N/A,N/A,87,-0.31
Angola,25,31.6,0.498,N/A,142,N/A,5.98,4.83,5.4,29.8,16.3,61.3,N/A,34.06,6658,71.1,180.2,10,21,0.581,66.48,33.52,29.7,N/A,35.03,-1.05,N/A,42.7,-3.97,N/A,N/A,144,6.66,21.55,6.1,10,2.3,66,4.32
Anguilla,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3,N/A,N/A,N/A,N/A,N/A,N/A,3.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,0.9
Antigua and Barbuda,0,N/A,0.676,N/A,N/A,N/A,N/A,N/A,N/A,2.5,30.5,77,N/A,N/A,23522,99,16.2,33,52,0.778,N/A,N/A,48.5,N/A,N/A,0.41,N/A,N/A,-17.27,N/A,N/A,N/A,1.76,26,0.4,0,0.8,24,0.55
