name,population,home_price,schools_score,crime_rank,x_factor
Hilltop,9524,1420148,4.3,7,8.0
Country Club,3032,1763760,3.4,11,8.0
South Park Hill,9546,735628,4.3,9,8.0
Washington Park West,7798,697991,3.0,27,9.0
Platt Park,5874,811690,4.0,44,8.0
Washington Park,7514,1024260,3.0,8,9.5
Congress Park,11475,643956,3.5,16,9.0
Wellshire,3525,641452,5.0,1,6.0
Sloan Lake,8189,675068,3.5,23,8.0
City Park,3677,651846,3.0,50,8.5
West Highland,9252,674079,3.5,35,8.5
Five Points,18924,591834,3.3,69,9.5
Hale,7748,373401,3.0,34,8.0
City Park West,5339,633822,3.0,65,8.0
University Park,8156,615804,3.0,25,6.0
Athmar Park,9233,403740,4.0,41,4.5
Harvey Park South,9638,443980,4.0,15,4.0
Hampden,20182,427906,3.3,37,5.0
Washington Virginia Vale,14793,484536,3.6,20,5.5
Montclair,5739,657482,3.0,46,5.5
Barnum West,6145,382892,4.0,12,3.0
Harvey Park,13338,433501,2.7,17,5.0
Skyland,3530,528762,2.0,28,6.0
Virginia Village,14437,548046,1.0,22,5.5
Westwood,17707,347675,3.5,31,5.0
